Powers test of 80 - started 15/04/2026 20:40:09

80^1: steps=9 even=8 odd=1 pct=88.9% peak=80 ms=0.014
80^58: steps=1251 even=909 odd=342 pct=72.7% peak=239452428260295134118491722992235809940427987841187840000000000000000000000000000000000000000000000000000000000 ms=0.354
80^59: steps=1371 even=985 odd=386 pct=71.8% peak=19156194260823610729479337839378864795234239027295027200000000000000000000000000000000000000000000000000000000000 ms=0.477
80^60: steps=1080 even=809 odd=271 pct=74.9% peak=1532495540865888858358347027150309183618739122183602176000000000000000000000000000000000000000000000000000000000000 ms=0.266
80^61: steps=1363 even=985 odd=378 pct=72.3% peak=122599643269271108668667762172024734689499129774688174080000000000000000000000000000000000000000000000000000000000000 ms=0.364
80^62: steps=1253 even=920 odd=333 pct=73.4% peak=9807971461541688693493420973761978775159930381975053926400000000000000000000000000000000000000000000000000000000000000 ms=0.328
80^63: steps=1567 even=1115 odd=452 pct=71.2% peak=784637716923335095479473677900958302012794430558004314112000000000000000000000000000000000000000000000000000000000000000 ms=0.393
80^64: steps=1413 even=1023 odd=390 pct=72.4% peak=62771017353866807638357894232076664161023554444640345128960000000000000000000000000000000000000000000000000000000000000000 ms=0.296
80^65: steps=1365 even=996 odd=369 pct=73.0% peak=5021681388309344611068631538566133132881884355571227610316800000000000000000000000000000000000000000000000000000000000000000 ms=0.338
80^66: steps=1591 even=1137 odd=454 pct=71.5% peak=401734511064747568885490523085290650630550748445698208825344000000000000000000000000000000000000000000000000000000000000000000 ms=0.863
80^67: steps=1512 even=1091 odd=421 pct=72.2% peak=32138760885179805510839241846823252050444059875655856706027520000000000000000000000000000000000000000000000000000000000000000000 ms=0.717
80^68: steps=1353 even=996 odd=357 pct=73.6% peak=2571100870814384440867139347745860164035524790052468536482201600000000000000000000000000000000000000000000000000000000000000000000 ms=0.662
80^69: steps=1791 even=1267 odd=524 pct=70.7% peak=205688069665150755269371147819668813122841983204197482918576128000000000000000000000000000000000000000000000000000000000000000000000 ms=0.368
80^70: steps=1531 even=1110 odd=421 pct=72.5% peak=16455045573212060421549691825573505049827358656335798633486090240000000000000000000000000000000000000000000000000000000000000000000000 ms=0.295
80^71: steps=1403 even=1034 odd=369 pct=73.7% peak=1316403645856964833723975346045880403986188692506863890678887219200000000000000000000000000000000000000000000000000000000000000000000000 ms=0.280
80^72: steps=1373 even=1018 odd=355 pct=74.1% peak=105312291668557186697918027683670432318895095400549111254310977536000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.248
80^73: steps=1762 even=1259 odd=503 pct=71.5% peak=8424983333484574935833442214693634585511607632043928900344878202880000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.327
80^74: steps=1546 even=1129 odd=417 pct=73.0% peak=673998666678765994866675377175490766840928610563514312027590256230400000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.358
80^75: steps=1467 even=1083 odd=384 pct=73.8% peak=53919893334301279589334030174039261347274288845081144962207220498432000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.278
80^76: steps=1618 even=1178 odd=440 pct=72.8% peak=4313591466744102367146722413923140907781943107606491596976577639874560000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.721
80^77: steps=1397 even=1045 odd=352 pct=74.8% peak=345087317339528189371737793113851272622555448608519327758126211189964800000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.299
80^78: steps=1486 even=1102 odd=384 pct=74.2% peak=27606985387162255149739023449108101809804435888681546220650096895197184000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.414
80^79: steps=1288 even=983 odd=305 pct=76.3% peak=2208558830972980411979121875928648144784354871094523697652007751615774720000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.264
80^80: steps=1770 even=1281 odd=489 pct=72.4% peak=176684706477838432958329750074291851582748389687561895812160620129261977600000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.359
80^81: steps=1523 even=1132 odd=391 pct=74.3% peak=14134776518227074636666380005943348126619871175004951664972849610340958208000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.291
80^82: steps=1586 even=1173 odd=413 pct=74.0% peak=1130782121458165970933310400475467850129589694000396133197827968827276656640000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.291
