Powers test of 67 - started 15/04/2026 17:48:09

67^1: steps=27 even=19 odd=8 pct=70.4% peak=304 ms=0.033
67^58: steps=2319 even=1558 odd=761 pct=67.2% peak=69814780090376791773962372547682537095716471603329272495004555673502024323690011376509378874804425189892932 ms=0.578
67^59: steps=2775 even=1840 odd=935 pct=66.3% peak=3118393510703496699236985973796486656942002398282040838110203486749757086458153841484085589741264325148550324 ms=1.852
67^60: steps=2525 even=1689 odd=836 pct=66.9% peak=110054908427132459640561282762463660781623920031550544146638292602328875610967602241018592665107336841456656404 ms=0.650
67^61: steps=2658 even=1773 odd=885 pct=66.7% peak=134537038518609970072766249807577398531786116044421437825377125999073710518232897957035845292800891279645621727472 ms=0.787
67^62: steps=2571 even=1722 odd=849 pct=67.0% peak=555791044420572312742289548110786794904798499149334191758541707428336112944837762267424020282875189466461296917204 ms=0.760
67^63: steps=3032 even=2007 odd=1025 pct=66.2% peak=49650666634904459938311199631230287011495332590673854463763059196931359423072173429223212478603516925670542524603236 ms=0.907
67^64: steps=2552 even=1715 odd=837 pct=67.2% peak=3793477810872439727718318336644662604495211339362655459813178176268069349680807602023622369168625730994380261960042344 ms=0.758
67^65: steps=3101 even=2054 odd=1047 pct=66.2% peak=222881842524086120663078975144592758394602547999534932687832372735024872450170986523783000816451187479335065392943915184 ms=0.722
67^66: steps=2391 even=1621 odd=770 pct=67.8% peak=28349525610426922894653037455696208589238469406097095617895303597647968346572139309325867471036263932430110934863436586500 ms=0.709
67^67: steps=2560 even=1727 odd=833 pct=67.5% peak=1688371747465425630170447564028129755981313289074227027910209192037701225973629629977629440497270829753615495676311334483968 ms=0.772
67^68: steps=3463 even=2283 odd=1180 pct=65.9% peak=44689741068714475939326414534275434528690564095989416639993685280602857141820517613235031116372205666564834848518660507822324 ms=0.952
67^69: steps=2965 even=1980 odd=985 pct=66.8% peak=4491318977405804831902304660694681170133401691646936372319365370700587142752962020130120627195406669489765902276125381036143464 ms=0.858
67^70: steps=3183 even=2116 odd=1067 pct=66.5% peak=225688778614641692803090809199907728799203435005258552709048109877704503923336341511538561516569185141860736589375300397066208944 ms=0.756
67^71: steps=3520 even=2325 odd=1195 pct=66.1% peak=20161530889574657890409445621858423772728840193803097375341631149074935683818046508364111495480180539339559135317526835471247998676 ms=0.965
67^72: steps=3009 even=2014 odd=995 pct=66.9% peak=2885008749725083052757622712427043922845883031990013725890072139299610596498217321117270403633999388914927988807560439135514158200840 ms=0.701
67^73: steps=3346 even=2223 odd=1123 pct=66.4% peak=90505112163300639270048001396522464315779763629982104117908582228197386284659210776046496503210530441095280958440377964430432266045344 ms=0.956
67^74: steps=3153 even=2107 odd=1046 pct=66.8% peak=15349101365944767791204703236841481682554274288122277470246558617263350480213923027550135516341360896994502805045497850405123622119627152 ms=0.840
67^75: steps=3994 even=2625 odd=1369 pct=65.7% peak=457062129563688640893651163052613010102727278801863373558453078825175325410814596820381813153276080043836305750243713767619236747562230248 ms=1.049
67^76: steps=2824 even=1910 odd=914 pct=67.6% peak=18147059366380526779184964696014857290004579365762871720543025944466220327421972140424048285196739178036759991268935598477326733088396697044 ms=0.932
67^77: steps=3577 even=2374 odd=1203 pct=66.4% peak=1823779466321242941308088951949493157645460226259168607914574107418855142905908200112616852662272287392694379122528027646971336675383868052824 ms=0.862
67^78: steps=3247 even=2174 odd=1073 pct=67.0% peak=103100532955472765025822903564894785068144923415713625366170767510022154797399622937616371452064080246668254119770412562917848376430294290861072 ms=0.771
67^79: steps=3248 even=2177 odd=1071 pct=67.0% peak=8186946024316059563532011305301274784670470955677407880928523168203240736504621910305537051600940298105805067881028316107254330335798183689115716 ms=0.970
67^80: steps=3510 even=2340 odd=1170 pct=66.7% peak=365683589086117327171096504970123607048614369353590885348140701513078086230539778660313988304841999982059293032019264786124026754998985538113835204 ms=0.984
67^81: steps=4064 even=2682 odd=1382 pct=66.0% peak=36751200703154791380695198749497422508385744120035883977488140502064347666169247755361555824636620998196958949717936111005464688877398046580440437904 ms=1.001
67^82: steps=3884 even=2574 odd=1310 pct=66.3% peak=2807915257523018633877579303392145826414407260241575741953565061226897270631351631022293962280137164936395265317397346476464190795941604864471382044756 ms=0.925
67^83: steps=3311 even=2225 odd=1086 pct=67.2% peak=417595854264794079348225016315812759401613501054441491786577664994222355954629187721226873495009285141668688960874657230830812814313182072470855224528968 ms=1.205
67^84: steps=3878 even=2575 odd=1303 pct=66.4% peak=23929295129828608182318579677979251995235536159902635483343605586273067726804573481352780124938712368875572172502973400506890655104410882886693158294225812 ms=1.393
67^85: steps=4171 even=2757 odd=1414 pct=66.1% peak=1779393878594150512473383788565347987889780666073098629535457635049424179214532394353057604429455052668871214738765702043497980663276583830340490593778300080 ms=1.680
67^86: steps=3324 even=2240 odd=1084 pct=67.4% peak=37214039086294003462817837209538605320268883383003551524209320964935495835253966929362772786067993370981837006796902083767812667991489060640756097746667157224 ms=1.432
67^87: steps=3741 even=2498 odd=1243 pct=66.8% peak=3324454158375597642678393457385448741944020248881650602829366006200904294616021045689741035555407407807710772607189919483257931673906356083907544732035599378356 ms=1.162
67^88: steps=3941 even=2623 odd=1318 pct=66.6% peak=356783894071741660388688218933519837921129401646762242076648563126913309608733604348539109520677460003898475438983592562472388772152703455043131314971028570295988 ms=0.944
67^89: steps=3730 even=2496 odd=1234 pct=66.9% peak=14923474716948057817983308230203279402586706897229729556101024001835859378531318474101247508608223853648813658233675548560344855284165632460660968302107805609428864 ms=1.060
67^90: steps=4209 even=2792 odd=1417 pct=66.3% peak=1687285360184939787045737786777358277454959548568036297936672026207566850985197194978072296442017309453168994234044941709103990200565976820083480728657063771716050664 ms=0.980
67^91: steps=3512 even=2367 odd=1145 pct=67.4% peak=543243683809289887330132863629955024251655251276643583081851449695682877922873446788690820246135544197209618165303550139951095512912252968073757599903446796057624676760 ms=0.887
